begin_date,type,paperless_billing,pay_mentmethod,monthly_charges,total_charges,senior_citizen,partner,dependents,internet_service,online_security,online_backup,device_protection,tech_support
2014-07-01,Month-to-month,Yes,Credit card (automatic),99.5,6822.15,1,Yes,Yes,Fiber optic,No,No,Yes,No
2016-08-01,One year,No,Credit card (automatic),63.7,2763.35,0,Yes,Yes,DSL,Yes,No,No,Yes
2017-12-01,Month-to-month,Yes,Electronic check,93.55,2264.05,1,Yes,No,Fiber optic,No,No,No,No
2016-07-01,Two year,Yes,Electronic check,78.8,3460.3,0,Yes,No,DSL,Yes,No,Yes,Yes
2017-05-01,Two year,No,Credit card (automatic),19.8,641.35,0,Yes,Yes,,,,,
2014-04-01,Two year,No,Credit card (automatic),68.95,4858.7,0,Yes,Yes,DSL,Yes,No,Yes,No
2020-01-01,Month-to-month,Yes,Mailed check,19.2,19.2,0,No,Yes,,,,,
2014-04-01,Two year,No,Bank transfer (automatic),19.8,1378.75,0,Yes,Yes,,,,,
2020-01-01,Month-to-month,Yes,Electronic check,71.25,71.25,1,No,No,Fiber optic,No,No,No,No
2014-02-01,Two year,Yes,Bank transfer (automatic),80.45,5886.85,0,Yes,Yes,DSL,Yes,No,Yes,Yes
2016-10-01,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,0,Yes,No,Fiber optic,No,No,No,Yes
2015-10-01,Month-to-month,No,Bank transfer (automatic),61.35,3169.55,0,Yes,No,DSL,No,Yes,No,Yes
2018-02-01,Two year,No,Mailed check,19.75,498.1,0,No,Yes,,,,,
2019-08-01,Month-to-month,No,Bank transfer (automatic),20.95,85.5,0,No,No,,,,,
2017-05-01,One year,Yes,Bank transfer (automatic),24.9,847.8,1,No,No,,,,,
2018-10-01,One year,Yes,Credit card (automatic),79.5,1264.2,0,No,Yes,Fiber optic,No,No,No,Yes
2018-09-01,Month-to-month,No,Electronic check,92.6,1579.7,0,Yes,No,Fiber optic,No,No,No,No
2014-02-01,Two year,Yes,Electronic check,108.4,7719.5,0,Yes,No,Fiber optic,No,Yes,Yes,Yes
2016-04-01,Two year,No,Electronic check,108.65,4903.2,0,No,No,Fiber optic,No,Yes,Yes,Yes
2020-01-01,Month-to-month,Yes,Mailed check,45.85,45.85,1,No,No,DSL,No,No,No,No
2019-11-01,Month-to-month,No,Electronic check,30.2,30.2,0,Yes,Yes,DSL,No,Yes,No,No
2018-06-01,One year,No,Mailed check,20.65,417.5,0,Yes,No,,,,,
2017-04-01,Month-to-month,No,Bank transfer (automatic),19.65,655.85,0,Yes,No,,,,,
2017-11-01,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,0,Yes,Yes,DSL,Yes,Yes,No,No
2019-11-01,Month-to-month,No,Electronic check,74.5,217.45,0,No,No,Fiber optic,No,No,No,No
2015-09-01,One year,Yes,Bank transfer (automatic),105.0,5426.85,0,No,No,Fiber optic,No,Yes,Yes,Yes
2015-09-01,One year,No,Electronic check,95.95,5036.9,0,No,Yes,Fiber optic,Yes,Yes,Yes,No
2019-10-01,Month-to-month,No,Electronic check,72.75,317.75,1,No,No,Fiber optic,No,Yes,No,No
2019-01-01,Month-to-month,No,Bank transfer (automatic),67.8,842.25,0,No,No,DSL,Yes,Yes,No,Yes
2018-11-01,Two year,No,Mailed check,19.6,331.6,0,No,No,,,,,
2020-01-01,Month-to-month,No,Bank transfer (automatic),19.9,19.9,0,No,No,,,,,
2019-05-01,Month-to-month,Yes,Electronic check,94.0,773.65,0,No,No,Fiber optic,No,Yes,Yes,No
2014-07-01,Two year,No,Credit card (automatic),24.85,1583.5,0,Yes,No,,,,,
2015-01-01,One year,Yes,Credit card (automatic),100.7,6018.65,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No
2019-04-01,Month-to-month,Yes,Electronic check,81.1,576.65,0,Yes,No,Fiber optic,No,No,No,No
2015-10-01,Two year,No,Electronic check,79.2,4016.3,0,Yes,Yes,DSL,Yes,Yes,Yes,No
2018-08-01,One year,Yes,Mailed check,40.2,711.95,0,No,No,DSL,Yes,Yes,No,Yes
2014-02-01,Two year,Yes,Credit card (automatic),104.0,7250.15,0,No,No,Fiber optic,Yes,No,No,Yes
2016-01-01,One year,Yes,Credit card (automatic),35.8,1782.0,0,Yes,Yes,DSL,Yes,No,No,Yes
2015-05-01,Month-to-month,No,Bank transfer (automatic),65.2,3687.85,0,Yes,Yes,DSL,Yes,Yes,No,Yes
2015-03-01,One year,Yes,Credit card (automatic),81.25,4639.45,0,Yes,No,Fiber optic,Yes,No,Yes,No
2018-02-01,Month-to-month,No,Credit card (automatic),56.35,1381.2,0,No,No,DSL,Yes,No,No,Yes
2017-08-01,Month-to-month,Yes,Electronic check,60.05,1616.15,0,Yes,Yes,DSL,No,Yes,No,Yes
2017-09-01,Month-to-month,No,Mailed check,67.45,1801.1,0,No,No,DSL,Yes,Yes,No,Yes
2019-11-01,Month-to-month,No,Mailed check,75.3,75.3,0,No,No,Fiber optic,Yes,No,No,No
2019-10-01,Month-to-month,No,Mailed check,19.25,19.25,0,No,Yes,,,,,
2018-10-01,One year,No,Credit card (automatic),19.35,295.55,0,No,No,,,,,
2019-06-01,Month-to-month,Yes,Mailed check,87.1,341.45,0,No,Yes,Fiber optic,No,No,Yes,Yes
2018-07-01,Month-to-month,Yes,Electronic check,96.8,1743.05,0,Yes,No,Fiber optic,No,No,Yes,No
2018-02-01,Two year,Yes,Mailed check,19.7,494.05,0,Yes,Yes,,,,,
2014-03-01,One year,No,Mailed check,95.65,6856.95,0,Yes,No,Fiber optic,Yes,Yes,No,No
2016-04-01,Month-to-month,Yes,Electronic check,98.85,4564.9,1,Yes,No,Fiber optic,No,No,Yes,No
2015-07-01,One year,No,Electronic check,76.25,4154.55,1,Yes,Yes,DSL,Yes,No,Yes,Yes
2014-02-01,Two year,No,Bank transfer (automatic),65.5,4919.7,0,Yes,No,DSL,Yes,Yes,Yes,Yes
2015-02-01,One year,Yes,Credit card (automatic),116.6,7049.5,0,No,No,Fiber optic,Yes,Yes,Yes,Yes
2019-11-01,Month-to-month,Yes,Mailed check,20.5,20.5,0,Yes,Yes,,,,,
2019-10-01,Month-to-month,No,Mailed check,89.15,89.15,0,Yes,Yes,Fiber optic,No,No,No,No
2015-03-01,Month-to-month,Yes,Electronic check,94.75,5597.65,0,Yes,No,Fiber optic,Yes,Yes,No,No
2019-11-01,Month-to-month,No,Mailed check,20.85,72.0,0,Yes,No,,,,,
2019-12-01,Month-to-month,No,Electronic check,46.0,46.0,1,Yes,No,DSL,No,No,No,No
2019-05-01,Month-to-month,Yes,Electronic check,91.4,449.75,1,No,No,Fiber optic,No,No,No,No
2015-02-01,One year,Yes,Electronic check,104.65,6219.6,0,No,No,Fiber optic,No,No,Yes,Yes
2019-06-01,Month-to-month,Yes,Electronic check,85.2,474.8,0,No,No,Fiber optic,No,No,No,No
2019-07-01,One year,No,Mailed check,20.65,150.0,0,Yes,Yes,,,,,
2014-02-01,Two year,Yes,Electronic check,109.65,7880.25,0,Yes,No,Fiber optic,Yes,Yes,Yes,No
2018-06-01,Month-to-month,No,Electronic check,49.4,874.8,0,No,No,DSL,Yes,No,No,No
2016-03-01,Two year,No,Credit card (automatic),20.05,1016.7,0,Yes,Yes,,,,,
2014-08-01,Two year,No,Mailed check,65.85,4097.05,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2017-03-01,Month-to-month,No,Credit card (automatic),80.05,2835.9,0,No,No,Fiber optic,No,No,No,Yes
2018-08-01,Month-to-month,Yes,Mailed check,39.0,679.85,1,No,No,DSL,No,Yes,No,No
2014-09-01,Two year,No,Bank transfer (automatic),19.35,1319.95,0,Yes,No,,,,,
2016-10-01,Two year,No,Credit card (automatic),19.65,830.25,0,No,No,,,,,
2016-01-01,Month-to-month,Yes,Mailed check,100.85,4847.35,0,Yes,No,Fiber optic,Yes,No,No,No
2019-12-01,Month-to-month,No,Bank transfer (automatic),69.75,69.75,0,No,Yes,Fiber optic,No,No,No,No
2019-02-01,Month-to-month,Yes,Electronic check,89.55,1021.75,0,No,No,Fiber optic,No,No,Yes,No
2018-07-01,Month-to-month,No,Credit card (automatic),50.1,910.45,0,Yes,Yes,DSL,No,No,No,No
2019-12-01,Month-to-month,No,Electronic check,97.1,184.15,0,Yes,Yes,Fiber optic,Yes,No,No,No
2018-12-01,Month-to-month,Yes,Electronic check,89.4,1095.65,0,No,No,Fiber optic,No,No,Yes,Yes
2014-06-01,Two year,No,Credit card (automatic),60.3,4109.0,0,Yes,Yes,DSL,No,Yes,Yes,Yes
2018-10-01,Month-to-month,Yes,Credit card (automatic),79.95,1267.95,0,Yes,Yes,Fiber optic,No,Yes,No,No
2017-07-01,Month-to-month,Yes,Electronic check,76.05,2227.8,0,No,No,Fiber optic,No,No,No,No
2019-10-01,Month-to-month,Yes,Electronic check,89.9,89.9,0,No,No,Fiber optic,No,No,No,No
2019-05-01,Month-to-month,Yes,Electronic check,85.5,791.7,0,No,No,Fiber optic,No,No,No,No
2019-12-01,Month-to-month,No,Mailed check,19.9,19.9,0,No,No,,,,,
2018-12-01,One year,Yes,Credit card (automatic),24.8,321.7,0,No,No,,,,,
2016-06-01,Month-to-month,Yes,Electronic check,77.85,3365.85,0,No,No,Fiber optic,No,Yes,No,No
2017-04-01,Month-to-month,Yes,Electronic check,78.45,2435.15,0,No,No,Fiber optic,No,Yes,No,Yes
2016-02-01,One year,Yes,Bank transfer (automatic),99.7,4977.2,0,Yes,Yes,Fiber optic,Yes,No,Yes,No
2018-07-01,Month-to-month,No,Bank transfer (automatic),66.4,1286.05,1,Yes,No,DSL,Yes,No,Yes,No
2018-10-01,Month-to-month,No,Electronic check,75.35,1025.95,0,No,No,Fiber optic,No,No,Yes,No
2014-10-01,One year,No,Electronic check,81.25,5567.55,0,No,No,DSL,Yes,Yes,Yes,Yes
2019-09-01,Month-to-month,Yes,Credit card (automatic),20.15,20.15,0,Yes,Yes,,,,,
2017-04-01,Month-to-month,Yes,Electronic check,105.35,3540.65,0,No,No,Fiber optic,No,Yes,No,Yes
2014-02-01,Two year,Yes,Electronic check,74.35,5237.4,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2014-02-01,Two year,No,Bank transfer (automatic),86.65,6224.8,0,No,No,DSL,Yes,Yes,Yes,Yes
2018-09-01,Month-to-month,No,Electronic check,84.05,1095.3,0,Yes,Yes,Fiber optic,Yes,No,No,No
2017-03-01,Month-to-month,Yes,Electronic check,100.05,3480.0,0,Yes,No,Fiber optic,No,No,Yes,No
2015-01-01,One year,No,Credit card (automatic),43.7,2696.55,0,No,No,DSL,Yes,Yes,Yes,Yes
2014-02-01,One year,Yes,Credit card (automatic),97.25,7133.1,1,Yes,No,Fiber optic,No,Yes,No,No
2017-08-01,Two year,No,Mailed check,21.25,711.9,0,Yes,Yes,,,,,
2019-10-01,Month-to-month,Yes,Credit card (automatic),82.85,319.6,0,No,No,Fiber optic,No,No,Yes,No
2018-08-01,Month-to-month,Yes,Electronic check,35.2,607.3,0,No,No,DSL,No,No,Yes,Yes
2019-12-01,Month-to-month,Yes,Electronic check,75.35,75.35,1,No,No,Fiber optic,No,No,No,No
2018-03-01,Month-to-month,Yes,Electronic check,97.35,2119.5,0,No,No,Fiber optic,No,No,No,No
2015-05-01,Two year,Yes,Bank transfer (automatic),79.75,4438.2,1,No,No,DSL,No,Yes,Yes,No
2018-09-01,Month-to-month,No,Electronic check,89.85,1424.95,1,No,No,Fiber optic,No,Yes,No,No
2018-11-01,Month-to-month,No,Electronic check,46.3,639.45,0,Yes,Yes,DSL,No,No,No,No
2016-12-01,One year,No,Credit card (automatic),19.6,763.1,0,Yes,Yes,,,,,
2018-12-01,Month-to-month,Yes,Electronic check,95.6,1273.3,1,No,No,Fiber optic,No,No,No,No
2014-03-01,Two year,Yes,Bank transfer (automatic),115.05,8016.6,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes
2017-05-01,Two year,No,Mailed check,20.1,670.35,0,Yes,Yes,,,,,
2016-09-01,One year,No,Bank transfer (automatic),50.05,2029.05,0,No,No,DSL,No,No,No,Yes
2018-01-01,Month-to-month,No,Electronic check,69.75,1729.35,0,No,No,Fiber optic,No,No,No,No
2018-09-01,Month-to-month,No,Bank transfer (automatic),80.05,1345.65,0,No,No,Fiber optic,No,No,Yes,No
2014-06-01,Two year,Yes,Bank transfer (automatic),24.0,1664.3,0,Yes,Yes,,,,,
2014-02-01,Two year,Yes,Credit card (automatic),105.0,7589.8,0,Yes,No,Fiber optic,Yes,No,Yes,No
2017-08-01,Month-to-month,No,Electronic check,105.75,2710.25,1,Yes,Yes,Fiber optic,No,Yes,Yes,No
2015-02-01,One year,Yes,Bank transfer (automatic),65.85,3928.3,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2020-01-01,Month-to-month,No,Electronic check,19.2,19.2,0,No,No,,,,,
2020-01-01,Month-to-month,No,Bank transfer (automatic),49.55,49.55,0,No,No,DSL,Yes,No,No,No
2016-04-01,Two year,No,Bank transfer (automatic),20.05,902.0,0,No,No,,,,,
2017-11-01,One year,No,Electronic check,81.7,2212.55,0,No,No,DSL,Yes,No,Yes,Yes
2020-01-01,Month-to-month,No,Mailed check,24.4,24.4,0,No,No,DSL,No,No,No,No
2016-02-01,One year,No,Electronic check,75.15,3772.65,0,No,No,Fiber optic,No,Yes,No,No
2014-10-01,One year,No,Electronic check,102.1,6688.1,1,No,No,Fiber optic,No,No,Yes,Yes
2017-09-01,Two year,No,Mailed check,20.2,558.8,0,Yes,Yes,,,,,
2018-12-01,Month-to-month,Yes,Mailed check,31.1,419.7,0,No,No,DSL,No,Yes,No,No
2019-10-01,Month-to-month,Yes,Electronic check,80.25,80.25,0,No,No,Fiber optic,No,No,No,No
2014-02-01,One year,Yes,Credit card (automatic),104.9,7537.5,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes
2017-12-01,Month-to-month,No,Electronic check,45.45,1233.15,0,No,No,DSL,No,No,No,No
2019-01-01,One year,No,Bank transfer (automatic),54.15,701.05,0,Yes,Yes,DSL,Yes,No,No,Yes
2019-09-01,Month-to-month,Yes,Electronic check,45.6,45.6,0,No,No,DSL,No,No,No,No
2014-02-01,One year,Yes,Credit card (automatic),105.75,7629.85,1,Yes,No,Fiber optic,No,Yes,Yes,No
2015-06-01,Two year,Yes,Bank transfer (automatic),99.9,5706.3,1,No,No,Fiber optic,No,Yes,Yes,Yes
2015-06-01,Month-to-month,Yes,Electronic check,77.75,4458.15,0,Yes,No,Fiber optic,No,No,Yes,No
2014-03-01,Two year,No,Bank transfer (automatic),24.7,1810.55,0,Yes,Yes,,,,,
2014-05-01,Two year,Yes,Credit card (automatic),108.75,7156.2,0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes
2018-11-01,Month-to-month,Yes,Electronic check,83.2,1060.6,0,No,No,Fiber optic,No,No,Yes,No
2018-10-01,Month-to-month,Yes,Mailed check,99.95,1132.75,0,No,No,Fiber optic,No,No,No,Yes
2019-11-01,Month-to-month,No,Electronic check,44.6,122.7,0,No,No,DSL,No,No,No,No
2018-06-01,Month-to-month,No,Mailed check,19.4,415.4,0,No,No,,,,,
2019-09-01,Month-to-month,Yes,Bank transfer (automatic),84.75,264.85,0,Yes,Yes,Fiber optic,No,No,No,No
2014-04-01,Two year,Yes,Electronic check,110.5,7752.05,0,Yes,No,Fiber optic,No,Yes,Yes,Yes
2019-03-01,Month-to-month,No,Electronic check,25.2,321.05,0,No,Yes,DSL,No,No,No,No
2017-05-01,One year,No,Credit card (automatic),20.1,620.55,0,Yes,Yes,,,,,
2019-08-01,One year,No,Mailed check,25.1,171.0,0,Yes,No,,,,,
2017-06-01,One year,No,Credit card (automatic),19.8,587.7,1,No,No,,,,,
2015-06-01,Two year,No,Bank transfer (automatic),73.25,4054.2,1,No,No,DSL,Yes,No,Yes,Yes
2015-06-01,Two year,No,Bank transfer (automatic),19.75,1052.35,0,No,Yes,,,,,
2014-02-01,Month-to-month,Yes,Electronic check,94.65,6747.35,0,Yes,No,Fiber optic,No,No,Yes,No
2017-11-01,One year,No,Mailed check,66.15,1874.45,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2017-10-01,Month-to-month,No,Mailed check,25.7,734.6,1,Yes,No,,,,,
2019-01-01,Month-to-month,Yes,Mailed check,70.15,886.7,0,No,No,Fiber optic,No,No,No,No
2017-11-01,Two year,No,Mailed check,20.6,581.85,0,No,Yes,,,,,
2015-07-01,Month-to-month,Yes,Credit card (automatic),50.55,2832.75,0,No,No,DSL,Yes,No,No,No
2014-10-01,One year,No,Bank transfer (automatic),19.8,1336.65,0,Yes,Yes,,,,,
2019-10-01,Month-to-month,Yes,Mailed check,19.65,67.55,0,No,No,,,,,
2016-06-01,One year,Yes,Electronic check,70.95,3250.45,0,Yes,No,DSL,No,Yes,Yes,Yes
2017-11-01,Month-to-month,No,Bank transfer (automatic),71.6,1957.1,0,Yes,Yes,DSL,No,No,No,Yes
2019-09-01,Month-to-month,No,Bank transfer (automatic),74.4,215.8,0,No,No,Fiber optic,No,No,No,No
2019-09-01,Month-to-month,Yes,Electronic check,95.0,95.0,0,Yes,No,Fiber optic,Yes,No,No,No
2016-02-01,One year,No,Bank transfer (automatic),19.95,1004.5,0,No,No,,,,,
2014-02-01,Two year,Yes,Bank transfer (automatic),108.4,7318.2,1,Yes,No,Fiber optic,No,Yes,Yes,Yes
2019-09-01,Month-to-month,No,Electronic check,96.55,500.1,0,No,No,Fiber optic,No,Yes,Yes,No
2017-03-01,Month-to-month,Yes,Credit card (automatic),80.3,2483.05,1,Yes,No,Fiber optic,No,No,No,No
2017-12-01,One year,No,Mailed check,74.3,1863.8,0,No,No,DSL,Yes,Yes,Yes,Yes
2017-11-01,Month-to-month,Yes,Electronic check,90.35,2238.5,0,No,No,Fiber optic,No,No,No,No
2015-02-01,Month-to-month,No,Bank transfer (automatic),74.35,4453.3,0,Yes,Yes,Fiber optic,No,No,No,No
2014-04-01,Two year,No,Mailed check,84.7,5991.05,0,No,No,DSL,Yes,Yes,Yes,No
2016-08-01,One year,Yes,Bank transfer (automatic),70.45,2597.6,0,No,No,Fiber optic,No,No,No,No
2016-08-01,Two year,No,Credit card (automatic),66.5,2762.75,0,No,No,DSL,No,No,Yes,Yes
2019-05-01,Month-to-month,Yes,Electronic check,94.05,811.65,0,No,No,Fiber optic,No,No,Yes,No
2015-12-01,Month-to-month,No,Bank transfer (automatic),108.75,5431.9,1,Yes,No,Fiber optic,Yes,Yes,Yes,No
2018-01-01,Month-to-month,Yes,Electronic check,105.5,2686.05,0,No,No,Fiber optic,Yes,No,Yes,Yes
2019-10-01,Month-to-month,Yes,Electronic check,81.35,233.7,1,No,No,Fiber optic,No,Yes,No,No
2019-02-01,Month-to-month,Yes,Electronic check,70.3,738.2,0,Yes,No,Fiber optic,No,No,No,No
2019-07-01,Month-to-month,No,Mailed check,20.45,150.75,0,Yes,Yes,,,,,
2016-03-01,Month-to-month,No,Mailed check,100.75,4669.2,0,No,No,Fiber optic,Yes,Yes,No,Yes
2019-01-01,Month-to-month,Yes,Credit card (automatic),84.8,906.85,1,No,No,Fiber optic,No,No,No,No
2014-05-01,Two year,No,Bank transfer (automatic),23.95,1713.1,0,No,No,,,,,
2018-02-01,Month-to-month,No,Mailed check,34.25,828.2,1,Yes,No,DSL,No,No,Yes,Yes
2019-04-01,Month-to-month,No,Mailed check,45.25,428.7,0,No,No,DSL,No,No,No,No
2017-06-01,Month-to-month,Yes,Credit card (automatic),93.4,2979.3,0,No,No,Fiber optic,Yes,Yes,Yes,No
2018-09-01,One year,No,Electronic check,86.75,1410.25,0,No,No,Fiber optic,No,No,Yes,Yes
2019-10-01,Month-to-month,No,Mailed check,54.7,235.05,0,Yes,No,DSL,Yes,Yes,No,No
2019-05-01,Month-to-month,Yes,Electronic check,81.0,371.65,1,Yes,No,Fiber optic,No,Yes,No,No
2018-12-01,Month-to-month,No,Credit card (automatic),80.45,1137.05,0,Yes,Yes,DSL,No,Yes,No,Yes
2014-06-01,Two year,No,Credit card (automatic),70.9,4911.35,0,Yes,No,DSL,Yes,Yes,Yes,Yes
2015-12-01,Month-to-month,Yes,Electronic check,95.7,4729.75,0,No,No,Fiber optic,No,No,No,No
2016-09-01,Two year,Yes,Electronic check,111.15,4507.15,0,No,Yes,Fiber optic,Yes,Yes,Yes,Yes
2016-10-01,Month-to-month,Yes,Electronic check,26.2,1077.5,0,Yes,Yes,,,,,
2015-06-01,One year,No,Bank transfer (automatic),20.8,1021.8,0,Yes,No,,,,,
2014-03-01,One year,No,Credit card (automatic),115.65,7968.85,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes
2017-12-01,Month-to-month,Yes,Bank transfer (automatic),89.15,2257.75,0,Yes,Yes,Fiber optic,No,Yes,Yes,No
2014-07-01,Two year,Yes,Electronic check,105.05,7171.7,1,No,No,Fiber optic,Yes,Yes,No,Yes
2019-10-01,Month-to-month,Yes,Electronic check,69.5,69.5,0,No,No,Fiber optic,No,No,No,No
2016-12-01,One year,No,Mailed check,20.3,749.35,0,Yes,Yes,,,,,
2018-10-01,One year,Yes,Bank transfer (automatic),19.3,360.35,0,No,Yes,,,,,
2019-04-01,Month-to-month,Yes,Credit card (automatic),45.8,436.2,0,No,No,DSL,No,No,No,No
2014-04-01,Two year,No,Bank transfer (automatic),24.25,1724.15,0,Yes,No,,,,,
2019-10-01,Month-to-month,Yes,Electronic check,80.3,80.3,1,Yes,No,Fiber optic,Yes,No,No,No
2014-09-01,One year,Yes,Bank transfer (automatic),103.9,6767.1,1,Yes,Yes,Fiber optic,No,No,Yes,Yes
2017-07-01,Month-to-month,No,Electronic check,104.35,3205.6,0,No,No,Fiber optic,Yes,Yes,No,No
2019-07-01,Month-to-month,No,Mailed check,23.5,173.0,0,No,No,,,,,
2019-11-01,Month-to-month,No,Electronic check,76.1,257.6,0,No,No,Fiber optic,No,No,No,No
2018-11-01,One year,No,Credit card (automatic),20.35,335.95,0,Yes,Yes,,,,,
2016-07-01,Two year,No,Mailed check,19.55,876.15,0,No,No,,,,,
2018-10-01,Month-to-month,Yes,Credit card (automatic),35.5,552.7,0,Yes,Yes,DSL,No,No,No,No
2019-11-01,Month-to-month,No,Electronic check,19.55,61.05,0,No,No,,,,,
2019-10-01,Month-to-month,No,Electronic check,40.1,40.1,0,Yes,Yes,DSL,No,No,No,Yes
2017-05-01,Two year,No,Bank transfer (automatic),59.55,2016.3,0,Yes,No,DSL,Yes,No,Yes,Yes
2018-08-01,One year,Yes,Mailed check,61.5,1087.45,0,Yes,Yes,DSL,Yes,Yes,No,Yes
2016-05-01,Two year,No,Mailed check,25.5,1121.05,0,Yes,No,,,,,
2017-05-01,Two year,No,Credit card (automatic),25.7,826.1,0,No,No,,,,,
2014-08-01,One year,Yes,Bank transfer (automatic),74.25,4859.25,0,Yes,Yes,Fiber optic,No,No,No,No
2015-04-01,Two year,No,Mailed check,75.8,4415.75,0,Yes,Yes,DSL,Yes,No,Yes,Yes
2015-03-01,Month-to-month,Yes,Bank transfer (automatic),96.65,5580.8,0,Yes,Yes,Fiber optic,No,Yes,No,Yes
2014-06-01,One year,No,Bank transfer (automatic),101.35,7110.75,0,No,No,Fiber optic,Yes,Yes,Yes,No
2017-07-01,Two year,No,Bank transfer (automatic),99.45,3109.9,0,No,No,Fiber optic,No,No,Yes,Yes
2016-10-01,Month-to-month,Yes,Bank transfer (automatic),93.4,3756.4,0,No,No,Fiber optic,No,Yes,Yes,No
2014-05-01,Two year,Yes,Bank transfer (automatic),93.3,6398.05,0,Yes,Yes,Fiber optic,No,Yes,No,Yes
2019-02-01,One year,No,Mailed check,19.3,228.75,0,No,No,,,,,
2014-10-01,Two year,Yes,Credit card (automatic),86.4,5442.05,0,No,No,DSL,Yes,Yes,Yes,Yes
2018-08-01,Month-to-month,Yes,Electronic check,88.85,1594.75,0,Yes,No,Fiber optic,No,No,No,Yes
2019-12-01,Month-to-month,Yes,Electronic check,91.15,168.5,0,No,No,Fiber optic,Yes,Yes,No,No
2017-01-01,Month-to-month,No,Bank transfer (automatic),91.2,3382.3,0,No,No,Fiber optic,Yes,Yes,Yes,No
2019-05-01,Month-to-month,No,Bank transfer (automatic),19.5,150.35,0,No,No,,,,,
2016-04-01,Month-to-month,No,Electronic check,19.6,851.2,0,Yes,No,,,,,
2019-12-01,One year,No,Mailed check,20.2,34.75,0,Yes,Yes,,,,,
2014-02-01,Two year,Yes,Mailed check,26.0,1776.0,0,Yes,No,,,,,
2016-12-01,Two year,Yes,Bank transfer (automatic),85.4,3297.0,0,Yes,Yes,DSL,Yes,No,Yes,Yes
2015-06-01,One year,Yes,Bank transfer (automatic),68.75,3808.0,0,Yes,Yes,DSL,Yes,No,Yes,No
2020-01-01,Month-to-month,Yes,Electronic check,55.25,55.25,0,No,No,DSL,No,No,No,No
2014-07-01,Month-to-month,No,Bank transfer (automatic),83.85,5588.8,1,Yes,No,Fiber optic,Yes,Yes,No,No
2015-05-01,One year,Yes,Electronic check,98.25,5508.35,0,Yes,No,Fiber optic,No,Yes,No,No
2015-05-01,One year,No,Bank transfer (automatic),74.6,4368.95,0,Yes,No,DSL,No,Yes,Yes,Yes
